SECTOR|CIE10|NUMERODECASOS
BASTION POPULAR|N390 | 2
BOLIVARIANA|J45 | 1
XIMENA|V33 | 1
URDANETA|K52 | 2
JARDINES DEL SALADO|J20 | 3
FEBRES CORDERO|I49 | 1
LUIS VERNAZA|L028 | 1
XIMENA|S626 | 1
LETAMENDI|J31 | 2
BELLAVISTA|L303 | 1
OLMEDO|A09 | 13
LETAMENDI|J39 | 1
XIMENA|L600 | 1
NOT_FOUND|G24 | 1
LAS PEÑAS|T311 | 1
NUEVA PROSPERINA|J459 | 2
ALBORADA|J180 | 3
METROPOLIS|R10 | 1
AYACUCHO|T13 | 1
ROCAFUERTE|E86 | 5
NOT_FOUND|S913 | 4
NOT_FOUND|S912 | 1
NOT_FOUND|H605 | 1
LETAMENDI|S60 | 2
LETAMENDI|T784 | 1
NOT_FOUND|H92 | 2
FLORIDA|R101 | 1
LETAMENDI|A689 | 3
GARCIA MORENO|N390 | 8
OTRO|A09 | 4
MONTE SINAI|K529 | 1
DAULE|S911 | 1
FLORIDA|J96 | 3
DURAN|J03 | 5
OTROS|R509 | 1
URDENOR|J00 | 1
URDENOR|J02 | 1
XIMENA|R224 | 1
DURAN|J00 | 3
DAULE|T25 | 1
BOLIVAR SAGRARIO|J969 | 1
PUERTO SANTA ANA|L038 | 1
NOT_FOUND|O470 | 1
XIMENA|R221 | 1
XIMENA|A490 | 1
LIMONAL|E86 | 2
LETAMENDI|H10 | 2
URDANETA|W54 | 1
MUCHO LOTE I|J209 | 1
FORTIN|J20 | 8
FORTIN|J21 | 1
NUEVA PROSPERINA|J18 | 2
DURAN|Q37 | 1
XIMENA|S602 | 1
FEBRES CORDERO|S903 | 2
FEBRES CORDERO|S900 | 2
VOLUNTAD DE DIOS|J02 | 1
BOLIVAR SAGRARIO|S00 | 1
MAPASINGUE|N390 | 2
ORQUIDEAS|J042 | 1
OLMEDO|R10 | 1
METROPOLIS|A09 | 2
FEBRES CORDERO|N512 | 3
DURAN|J02 | 2
FERROVIARIA|K80 | 1
FERROVIARIA|K81 | 1
OTROS|R501 | 4
XIMENA|G44 | 1
VOLUNTAD DE DIOS|J00 | 2
LIMONAL|J21 | 1
LIMONAL|J20 | 4
XIMENA|G43 | 2
ALAMOS|J20 | 2
BASTION POPULAR|N39 | 1
AYACUCHO|T232 | 1
MONTE SINAI|J02 | 1
MONTE SINAI|J03 | 1
XIMENA|G439 | 1
JARDINES DEL SALADO|R501 | 1
URDESA|J96 | 1
OTROS|J02 | 2
NOT_FOUND|A880 | 1
XIMENA|G432 | 1
XIMENA|T492 | 1
LIMONAL|J351 | 1
LETAMENDI|S800 | 1
FLORIDA|L028 | 1
NOT_FOUND|K590 | 17
BOLIVAR SAGRARIO|T18 | 1
FLORIDA|L020 | 1
SAUCES|K529 | 1
SAUCES|J031 | 1
PUERTO SANTA ANA|H150 | 1
DURAN|I11 | 2
NOT_FOUND|M54 | 1
SALITRE|E86 | 2
NOT_FOUND|M791 | 1
FORTIN|L020 | 1
ROCAFUERTE|J98 | 1
PUERTO SANTA ANA|K12 | 1
GUAYACANES|R590 | 1
OTROS|H60 | 1
SALITRE|J21 | 1
SALITRE|J20 | 2
MUCHO LOTE I|L033 | 1
MUCHO LOTE I|L032 | 1
FEBRES CORDERO|H60  | 1
URDANETA|J459+ | 1
JARDINES DEL SALADO|E86 | 7
FLORIDA|S00 | 1
LETAMENDI|R227 | 1
XIMENA|L272 | 1
OTROS|J03 | 4
NOT_FOUND|S93 | 5
NOT_FOUND|S90 | 4
ALBORADA|J02 | 3
ALBORADA|J03 | 5
ALBORADA|J00 | 4
AYACUCHO|R50 | 2
AYACUCHO|R51 | 2
PASCUALES|A09 | 8
BELLAVISTA|R10 | 1
NOT_FOUND|T00 | 4
SAUCES|L01 | 1
MONTEBELLO|J45 | 1
MUCHO LOTE I|R10 | 3
MUCHO LOTE I|R11 | 2
DAULE|A90 | 1
SUCRE|A08 | 1
NOT_FOUND|S70 | 1
OLMEDO|J00 | 3
FEBRES CORDERO|S011 | 1
OLMEDO|J02 | 1
OLMEDO|J03 | 9
SANTA CECILIA|J20 | 1
FEBRES CORDERO|S015 | 2
FEBRES CORDERO|S017 | 1
FEBRES CORDERO|S018 | 1
FEBRES CORDERO|S019 | 7
CONDOR|H10 | 1
SAUCES|J03 | 14
SAMBORONDON|J03 | 2
DAULE|A689 | 1
NAVAL NORTE|J040 | 1
LETAMENDI|J304 | 1
XIMENA|J020 | 8
XIMENA|J029 | 9
XIMENA|J028 | 1
CONDOR|J03 | 1
BELLAVISTA|J050 | 1
SAN FELIPE|H109 | 1
XIMENA|N760 | 1
URDANETA|K529 | 3
NOT_FOUND|A084 | 1
OTROS|W060 | 1
URDANETA|G43 | 1
9 DE OCTUBRE|S001 | 1
BOLIVAR SAGRARIO|J00 | 2
BOLIVAR SAGRARIO|J03 | 7
BOLIVAR SAGRARIO|J02 | 4
9 DE OCTUBRE|J98 | 1
OLMEDO|I10 | 1
URDANETA|L500 | 1
ALBORADA|S01 | 1
URDANETA|L509 | 1
URDANETA|J180 | 12
SAMANES|K297 | 1
GARCIA MORENO|K529 | 1
BOLIVAR SAGRARIO|J029 | 1
XIMENA|S923 | 1
GARCIA MORENO|S81 | 1
AYACUCHO|H920 | 1
XIMENA|S927 | 1
OLMEDO|A689 | 1
XIMENA|L02 | 6
XIMENA|L03 | 6
GARCIA MORENO|K291 | 1
XIMENA|L01 | 4
GARCIA MORENO|K297 | 2
SAN EDUARDO|S51 | 1
CIUDAD DEL RIO|E86 | 2
NOT_FOUND|T311 | 1
DAULE|R501 | 2
XIMENA|S50 | 2
FEBRES CORDERO|T01 | 1
JUAN MONTALVO|J180 | 1
XIMENA|R529 | 1
ALBORADA|K30 | 1
URDANETA|G248 | 1
XIMENA|K12 | 13
LETAMENDI|J20 | 106
LETAMENDI|J21 | 14
LETAMENDI|J22 | 1
URDANETA|J459 | 3
XIMENA|H605 | 2
NOT_FOUND|H103 | 3
XIMENA|H609 | 1
URDANETA|J451 | 1
XIMENA|A070 | 1
