SECTOR|CIE10|NUMERODECASOS
URDANETA|S015 | 3
URDANETA|S014 | 1
XIMENA|A09 | 1019
XIMENA|A08 | 11
XIMENA|K529 | 11
XIMENA|A05 | 2
FEBRES CORDERO|J304 | 2
SAUCES|K297 | 2
NUEVA PROSPERINA|A689 | 1
SAUCES|K922 | 1
PROSPERINA|L50 | 3
FEBRES CORDERO|A689 | 9
GARCIA MORENO|S099 | 1
GARCIA MORENO|S098 | 1
SAUCES|K29  | 1
CARBO|E86 | 4
URDESA|E86 | 2
LETAMENDI|T232 | 1
MAPASINGUE|R52 | 1
MAPASINGUE|R51 | 1
GARCIA MORENO|T784 | 3
SAUCES|N390 | 2
ROSALES|J45 | 1
OTROS|A09 | 12
JARDINES DEL SALADO|A689 | 1
FEBRES CORDERO|B082 | 6
FEBRES CORDERO|B084 | 4
URDANETA|J029 | 1
FEBRES CORDERO|B088 | 2
PUERTO SANTA ANA|N830 | 1
SALITRE|B002 | 1
FERROVIARIA|S63 | 1
LUIS VERNAZA|N390 | 1
FEBRES CORDERO|S508 | 1
SAUCES|00000} | 1
FLOR DE BASTION|L020 | 1
LA FLORIDA|L040 | 1
FEBRES CORDERO|S500 | 1
GARCIA MORENO|R55 | 1
URDANETA|H920 | 2
SAN EDUARDO|A09 | 10
XIMENA|S617 | 1
FEBRES CORDERO|N39 | 3
URDANETA|H100 | 1
PUERTO SANTA ANA|H664 | 1
MUCHO LOTE I|R074 | 1
SAN EDUARDO|N390 | 2
URDANETA|L130 | 1
OLMEDO|J042 | 1
CIUDAD DEL RIO|R11 | 1
LETAMENDI|N390 | 18
SAN EDUARDO|E86 | 2
XIMENA|L010 | 1
FERROVIARIA|R10 | 5
NOT_FOUND|J390 | 1
BOLIVARIANA|J21 | 1
BOLIVARIANA|J20 | 4
FEBRES CORDERO|M23 | 1
DAULE|J00 | 2
DAULE|J01 | 1
DAULE|J02 | 4
DAULE|J03 | 10
XIMENA|K590 | 35
XIMENA|K591 | 1
LETAMENDI|L08 | 1
LETAMENDI|L01 | 1
LETAMENDI|L02 | 1
LAS PEÑAS|J180 | 1
XIMENA|I10 | 16
AYACUCHO|S61 | 1
SAN FELIPE|R11 | 2
MAPASINGUE|R072 | 1
DAULE|I10 | 2
GARCIA MORENO|N512 | 1
SUCRE|R10 | 3
SUCRE|R11 | 1
NOT_FOUND|R05 | 3
NOT_FOUND|R06 | 1
FEBRES CORDERO|S46 | 1
IETEL|R10 | 2
NAVAL NORTE|J020 | 1
BOLIVARIANA|A689 | 1
MONTE SINAI|A90 | 2
MAPASINGUE|P783 | 1
FEBRES CORDERO|S098 | 2
FEBRES CORDERO|S099 | 1
MAPASINGUE|J45 | 3
FLORIDA|H920 | 1
FERROVIARIA|J46 | 1
XIMENA|H65 | 18
XIMENA|H66 | 4
XIMENA|H67 | 1
XIMENA|H60 | 18
FEBRES CORDERO|S913 | 1
NOT_FOUND|S498 | 1
NOT_FOUND|S499 | 1
LAS PEÑAS|H920 | 1
FEBRES CORDERO|N30 | 4
FORTIN|E86 | 4
GARCIA MORENO|J180 | 6
XIMENA|N47 | 1
NOT_FOUND|X42 | 1
MAPASINGUE|T784 | 1
GARCIA MORENO|N30 | 1
NOT_FOUND|T150 | 1
SAMBORONDON|H660 | 1
LETAMENDI|S913 | 1
LETAMENDI|S911 | 1
AYACUCHO|J21 | 7
AYACUCHO|J20 | 24
AYACUCHO|J22 | 1
XIMENA|J40 | 3
XIMENA|J45 | 127
XIMENA|J46 | 21
NOT_FOUND|J029 | 7
NOT_FOUND|S720 | 1
NOT_FOUND|J020 | 6
GUAYACANES|J180 | 3
FEBRES CORDERO|J46 | 5
FEBRES CORDERO|J45 | 35
MONTE SINAI|H811 | 1
GARCIA MORENO|J450 | 1
FEBRES CORDERO|J40 | 1
XIMENA|M624 | 3
LETAMENDI|S836 | 1
SUCRE|H50 | 1
AYACUCHO|K12 | 1
NOT_FOUND|R529 | 1
XIMENA|S300 | 2
BRISAS DEL NORTE|L50 | 1
GUAYACANES|J050 | 2
MUCHO LOTE I|N390 | 3
FEBRES CORDERO|K30 | 3
LETAMENDI|K297 | 2
DURAN|H605 | 1
FLORIDA|N390 | 6
SERGIO TORAL|S01 | 1
JUAN MONTALVO|J969 | 2
XIMENA|S498 | 1
SAUCES|J45 | 10
LETAMENDI|H920 | 2
ATARAZANA|B002 | 1
NOT_FOUND|X440 | 1
FEBRES CORDERO|L032 | 1
XIMENA|S019 | 6
XIMENA|S018 | 5
GARCIA MORENO|S20 | 1
XIMENA|A880 | 1
XIMENA|S011 | 3
XIMENA|S010 | 1
SAUCES|H650 | 1
XIMENA|S012 | 4
BOLIVAR SAGRARIO|J042 | 1
XIMENA|S014 | 3
METROPOLIS|J20 | 3
SUCRE|H920 | 1
FEBRES CORDERO|R101 | 4
DAULE|R11 | 1
DAULE|R10 | 3
CHONGON|J18 | 1
NOT_FOUND|M23 | 1
DAULE|W54 | 1
NOT_FOUND|E139 | 1
LETAMENDI|J46 | 3
XIMENA|H660 | 3
DAULE|S099 | 1
XIMENA|H664 | 2
XIMENA|H669 | 6
PROSPERINA|J029 | 1
NOT_FOUND|J40 | 3
PUERTO SANTA ANA|S80 | 1
MONTEBELLO|T189 | 1
XIMENA|A080 | 1
KENNEDY|R50 | 1
LETAMENDI|T131 | 1
MAPASINGUE|S008 | 1
ATARAZANA|J01 | 1
ATARAZANA|J02 | 1
ATARAZANA|J03 | 1
XIMENA|S422 | 1
SAN FELIPE|A92 | 1
DAULE|S61 | 1
NOT_FOUND|E14 | 1
FLORIDA|K297 | 1
NOT_FOUND|S010 | 1
NOT_FOUND|S014 | 3
MAPASINGUE|J042 | 1
NOT_FOUND|S018 | 3
NOT_FOUND|S019 | 7
MONTEBELLO|A09 | 1
PASCUALES|J030 | 1
LETAMENDI|R509 | 11
FLORIDA|J120 | 1
LETAMENDI|R500 | 5
LETAMENDI|R501 | 6
MUCHO LOTE I|H44 | 1
PROSPERINA|R509 | 3
FERROVIARIA|J03 | 3
METROPOLIS|S501 | 1
FERROVIARIA|J00 | 2
PROSPERINA|R501 | 1
XIMENA|T130 | 1
FEBRES CORDERO|G438 | 1
XIMENA|T138 | 1
XIMENA|G808 | 1
OLMEDO|A05 | 1
MUCHO LOTE I|K529 | 1
LETAMENDI|H65 | 2
NOT_FOUND|L600 | 1
NUEVA PROSPERINA|J45 | 1
FEBRES CORDERO|R040 | 2
PASCUALES|J459 | 1
DAULE|T784 | 1
CARBO|J00 | 3
CARBO|J02 | 2
CARBO|J03 | 4
OLMEDO|J180 | 1
FEBRES CORDERO|L01 | 1
FEBRES CORDERO|L03 | 1
FEBRES CORDERO|L02 | 1
FEBRES CORDERO|B349 | 1
SAMANES|J00 | 1
XIMENA|L029 | 1
FLOR DE BASTION|J960 | 1
XIMENA|K297 | 17
XIMENA|L024 | 7
XIMENA|L021 | 1
XIMENA|L020 | 4
ORQUIDEAS|R11 | 2
ORQUIDEAS|R10 | 2
OTROS|K590 | 1
SAMBORONDON|J98 | 1
XIMENA|H103 | 6
ATARAZANA|B15 | 1
TARQUI|A689 | 1
BELLAVISTA|S619 | 1
FEBRES CORDERO|T24 | 1
BOLIVAR SAGRARIO|R501 | 1
MAPASINGUE|K30 | 1
DAULE|J18 | 2
MAPASINGUE|R040 | 1
FLORIDA|J209 | 1
NOT_FOUND|D550 | 1
BELLAVISTA|A90 | 2
GARCIA MORENO|K12 | 1
NOT_FOUND|R10 | 164
NOT_FOUND|R11 | 85
FEBRES CORDERO|R56 | 1
NOT_FOUND|R14 | 1
URDANETA|A880 | 2
ORQUIDEAS|A09 | 9
FEBRES CORDERO|S50 | 4
FEBRES CORDERO|S91 | 2
FEBRES CORDERO|H650 | 6
SUCRE|J03 | 5
SUCRE|J02 | 1
SUCRE|J00 | 2
JUAN MONTALVO|H60 | 1
FEBRES CORDERO|H659 | 1
LETAMENDI|M42 | 1
ADACE|A09 | 2
NOT_FOUND|N90 | 1
OLMEDO|K12 | 1
NOT_FOUND|R739 | 1
NOT_FOUND|L50 | 54
NOT_FOUND|L53 | 1
FEBRES CORDERO|N20 | 2
FEBRES CORDERO|N23 | 1
FEBRES CORDERO|T231 | 2
ATARAZANA|R11 | 2
ATARAZANA|R10 | 1
FEBRES CORDERO|N390 | 64
FLORIDA|S01 | 1
FEBRES CORDERO|A059 | 8
GARCIA MORENO|N20 | 1
NOT_FOUND|T141 | 1
BELLAVISTA|S014 | 1
ORQUIDEAS|E86 | 6
LETAMENDI|S900 | 2
XIMENA|N110 | 1
SAUCES|B084 | 1
NOT_FOUND|J039 | 12
FEBRES CORDERO|P229 | 1
NOT_FOUND|J030 | 11
MONTE SINAI|R560 | 1
URDANETA|K590 | 3
AYACUCHO|L509 | 1
BOLIVAR SAGRARIO|N390 | 2
EL PARAISO|J03 | 1
XIMENA|S318 | 1
SAUCES|S610 | 1
LETAMENDI|F419 | 1
XIMENA|S311 | 1
XIMENA|S315 | 1
LETAMENDI|K590 | 4
LAS PEÑAS|A08 | 1
LAS PEÑAS|A09 | 10
FLORIDA|B829 | 1
AYACUCHO|S519 | 1
URDESA|J029 | 1
LAS PEÑAS|R10 | 2
LAS PEÑAS|R11 | 2
CARBO|R10 | 1
MONTE SINAI|J960 | 1
FEBRES CORDERO|C698 | 1
OTROS|J459 | 1
SUCRE|R500 | 1
XIMENA|S943 | 1
FEBRES CORDERO|L028 | 1
FEBRES CORDERO|L024 | 3
FEBRES CORDERO|L020 | 5
FEBRES CORDERO|L022 | 1
FEBRES CORDERO|L023 | 1
LOS CEIBOS|R11 | 1
MUCHO LOTE I|J040 | 1
XIMENA|S003 | 2
MUCHO LOTE I|J042 | 1
NUEVA PROSPERINA|R501 | 1
LETAMENDI|R11 | 15
CHONGON|J20 | 7
CHONGON|J22 | 1
GARCIA MORENO|H103 | 2
ALBORADA|N23 | 1
ORQUIDEAS|J20 | 8
FLOR DE BASTION|P229 | 1
SUCRE|L50 | 2
FEBRES CORDERO|J96 | 20
OTROS|J45 | 3
FEBRES CORDERO|G43 | 1
FEBRES CORDERO|J98 | 5
OTROS|J46 | 1
JUAN MONTALVO|J960 | 1
SAUCES|S099 | 1
FORTIN|J180 | 3
MAPASINGUE|J180 | 6
XIMENA|A059 | 12
XIMENA|A058 | 1
SAMANES|N23 | 1
XIMENA|T232 | 1
NUEVA PROSPERINA|D509 | 1
AYACUCHO|E86 | 26
GARCIA MORENO|H920 | 2
AYACUCHO|N390 | 10
NOT_FOUND|S003 | 4
OTRO|J21 | 1
NOT_FOUND|S005 | 1
NOT_FOUND|S004 | 1
NOT_FOUND|S009 | 1
MUCHO LOTE I|R509 | 1
FORTIN|K12 | 1
XIMENA|L239 | 2
FEBRES CORDERO|S000 | 2
GARCIA MORENO|R529 | 1
OTROS|E86 | 10
LETAMENDI|T211 | 1
FERROVIARIA|J18 | 1
GARCIA MORENO|T252 | 1
FEBRES CORDERO|G442 | 1
SUCRE|S018 | 1
SAN EDUARDO|K219 | 1
GUAYACANES|A09 | 6
MUCHO LOTE II|J02 | 1
SUCRE|E86 | 7
SUCRE|K590 | 1
GARCIA MORENO|R638 | 1
FEBRES CORDERO|R072 | 1
FEBRES CORDERO|R074 | 1
URDESA|H660 | 1
MONTEBELLO|L021 | 1
MUCHO LOTE II|A689 | 1
OLMEDO|R53 | 1
OLMEDO|R51 | 1
NOT_FOUND|J01 | 2
NOT_FOUND|J00 | 87
NOT_FOUND|J03 | 239
NOT_FOUND|J02 | 64
NOT_FOUND|J05 | 5
PUERTO SANTA ANA|R509 | 1
URDANETA|J960 | 2
SAN FELIPE|K529 | 1
LETAMENDI|I20 | 1
XIMENA|S015 | 7
FEBRES CORDERO|B350 | 1
XIMENA|L032 | 7
XIMENA|L031 | 2
XIMENA|L038 | 1
METROPOLIS|J21 | 1
MAPASINGUE|S909 | 1
BASTION POPULAR|J180 | 5
SERGIO TORAL|N390 | 1
ORQUIDEAS|N390 | 2
OTROS|S099 | 2
XIMENA|P599 | 1
SUCRE|J180 | 1
URDANETA|R500 | 1
XIMENA|F41 | 1
BOLIVAR SAGRARIO|R040 | 1
LAS PEÑAS|B01 | 1
URDANETA|R509 | 3
GARCIA MORENO|K29 | 2
LA FLORIDA|E86 | 1
DURAN|J040 | 1
DURAN|J042 | 1
LETAMENDI|A90 | 1
AYACUCHO|N512 | 1
XIMENA|T183 | 1
FEBRES CORDERO|S60 | 2
NOT_FOUND|K802 | 1
DAULE|K12 | 1
PASCUALES|B829 | 1
MAPASINGUE|J22 | 1
FLORIDA|A09 | 32
MAPASINGUE|J20 | 21
MAPASINGUE|J21 | 4
XIMENA|J399 | 1
NOT_FOUND|B01 | 5
FLOR DE BASTION|E86 | 9
NOT_FOUND|M624 | 1
XIMENA|K420 | 1
FERROVIARIA|J180 | 1
SAUCES|J969 | 1
SAMANES|R501 | 1
XIMENA|H00 | 1
NOT_FOUND|L23 | 1
LETAMENDI|J45 | 22
LETAMENDI|N30 | 1
FEBRES CORDERO|T222 | 1
XIMENA|N23 | 19
XIMENA|N20 | 6
OLMEDO|S910 | 1
LOS CEIBOS|J20 | 4
NOT_FOUND|T171 | 1
LETAMENDI|J180 | 32
XIMENA|M542 | 1
XIMENA|M545 | 2
IETEL|S09 | 1
XIMENA|M546 | 1
OLMEDO|J45 | 2
OLMEDO|J46 | 1
NOT_FOUND|B002 | 7
XIMENA|J060 | 1
SAMBORONDON|J45 | 1
AYACUCHO|R101 | 2
URDANETA|A059 | 1
LETAMENDI|B01 | 4
SAMANES|S81 | 1
XIMENA|S810 | 4
XIMENA|S817 | 1
XIMENA|S819 | 1
XIMENA|S818 | 2
JUAN MONTALVO|J98 | 1
JARDINES DEL SALADO|H920 | 1
BOLIVAR SAGRARIO|J45 | 1
XIMENA|R42 | 2
LETAMENDI|H830 | 1
NOT_FOUND|Z001 | 1
LETAMENDI|R072 | 1
LUIS VERNAZA|J20 | 5
XIMENA|N390 | 137
FLORIDA|N482 | 1
NOT_FOUND|R501 | 41
NOT_FOUND|R500 | 8
AYACUCHO|M545. | 1
FEBRES CORDERO|S934 | 3
SAUCES|H10 | 1
FEBRES CORDERO|L303 | 1
XIMENA|E162 | 1
NOT_FOUND|H650 | 5
FEBRES CORDERO|K52 | 5
URDESA|J039 | 1
NOT_FOUND|H659 | 1
LETAMENDI|S619 | 1
NOT_FOUND|A90 | 7
NOT_FOUND|A92 | 2
LETAMENDI|S610 | 2
JARDINES DEL SALADO|J180 | 1
XIMENA|J159 | 2
LETAMENDI|N23 | 1
XIMENA|R560 | 1
ORQUIDEAS|S600 | 1
XIMENA|S96 | 1
FEBRES CORDERO|M549 | 1
NOT_FOUND|S819 | 1
XIMENA|S93 | 2
XIMENA|S90 | 7
XIMENA|S91 | 3
METROPOLIS|J00 | 1
URDANETA|K80 | 1
NOT_FOUND|S810 | 4
XIMENA|N200 | 2
XIMENA|S619 | 2
LETAMENDI|R05 | 1
NOT_FOUND|B26 | 1
XIMENA|S611 | 3
XIMENA|S610 | 5
NOT_FOUND|I95 | 3
FEBRES CORDERO|T784 | 5
FEBRES CORDERO|N946 | 1
GUAYACANES|J21 | 1
GUAYACANES|J20 | 9
BOLIVARIANA|N200 | 1
CHONGON|M54 | 1
FLOR DE BASTION|J96 | 2
FLORIDA|J039 | 1
SAN FELIPE|J21 | 1
GUAYACANES|E86 | 8
FLORIDA|J030 | 1
MUCHO LOTE I|L023 | 1
FEBRES CORDERO|A90 | 6
NUEVA PROSPERINA|J209 | 1
MUCHO LOTE I|J18 | 1
SAN FELIPE|J00 | 1
SAN FELIPE|J03 | 1
SAN FELIPE|J02 | 2
DAULE|S01 | 2
DAULE|S00 | 3
ALAMOS|E86 | 1
AYACUCHO|J05 | 1
NOT_FOUND|L028 | 1
SALITRE|H920 | 1
NOT_FOUND|L024 | 3
NOT_FOUND|L022 | 1
NOT_FOUND|L023 | 2
NOT_FOUND|L020 | 8
LETAMENDI|A09+ | 1
LETAMENDI|J020 | 1
FLOR DE BASTION|A08 | 1
FLOR DE BASTION|A09 | 22
CHONGON|S019 | 1
FEBRES CORDERO|R074  | 1
FERROVIARIA|J21 | 1
FERROVIARIA|J20 | 5
CARBO|K12 | 1
ATARAZANA|K12 | 1
PASCUALES|T784 | 1
SAMANES|R55 | 1
SAMANES|R53 | 1
HUANCAVILCA NORTE|S00 | 1
MUCHO LOTE I|J969 | 1
PROSPERINA|S01 | 1
OTROS|R10 | 3
SAUCES|R51 | 1
LETAMENDI|G249 | 1
FERROVIARIA|K291 | 1
SUCRE|R509 | 1
NUEVA PROSPERINA|J20 | 5
NUEVA PROSPERINA|J21 | 1
FEBRES CORDERO|K590 | 12
LETAMENDI|T111 | 1
PASCUALES|I88 | 1
ATARAZANA|T784 | 1
FEBRES CORDERO|R060 | 1
JARDINES DEL SALADO|H669 | 1
ORQUIDEAS|S00 | 1
ORQUIDEAS|S06 | 1
JARDINES DEL SALADO|H660 | 1
NOT_FOUND|J18 | 28
FEBRES CORDERO|L27 | 1
FEBRES CORDERO|L23 | 3
FEBRES CORDERO|W54 | 1
FEBRES CORDERO|B360 | 1
XIMENA|L042 | 1
XIMENA|L040 | 1
FEBRES CORDERO|S420 | 1
OTROS|R11 | 1
BRISAS DEL RIO|J02 | 1
CIUDAD DEL RIO|J03 | 3
PUERTO SANTA ANA|A09 | 6
OTROS|A08 | 1
JUAN MONTALVO|N390 | 3
LETAMENDI|L50 | 10
XIMENA|K250 | 1
SAUCES|J042 | 1
BOLIVAR SAGRARIO|R072 | 1
NOT_FOUND|V299 | 1
ROCAFUERTE|L020 | 1
NOT_FOUND|S015 | 6
SALITRE|L50 | 1
GARCIA MORENO|S518  | 1
